title,imdbid,year,id,rating
Passage de Venus,3155794,1874,9602,0
La Rosace Magique,14495706,1877,9804,0
Sallie Gardner at a Gallop,2221420,1878,9603,0
Le singe musicien,12592084,1878,9806,0
Athlete Swinging a Pick,7816420,1881,9816,0
Buffalo Running,5459794,1883,9831,0
L'homme machine,8588366,1885,9832,0
Man Walking Around the Corner,2075247,1887,9614,0
Cockatoo Flying,8133192,1887,9836,0
Child Carrying Flowers to Woman,7411790,1887,9837,0
Jumping Over a Man's Back-Leapfrog,7541160,1887,9838,0
Man Riding Jumping Horse,7754902,1887,9841,0
Baboon Climbing a Pole,8361552,1887,9902,0
Roundhay Garden Scene,0392728,1888,8040,0
Accordion Player,1758563,1888,9615,0
Traffic Crossing Leeds Bridge,0343112,1888,9616,0
Pferd und Reiter Springen uber ein Hindernis,3274100,1888,9675,0
Brighton Street Scene,2116853,1888,9947,0
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0466876,1889,9619,0
Hyde Park Corner,2116898,1889,9945,0
"Monkeyshines, No. 1",0361921,1890,9617,0
"Monkeyshines, No. 2",0416046,1890,9618,0
London's Trafalgar Square,1202028,1890,9621,0
"Monkeyshines, No. 3",0416047,1890,9678,0
Mosquinha,5285442,1890,9946,0
"Traffic in King's Road, Chelsea",2116968,1890,9944,0
Dickson Greeting,0241373,1891,9626,0
Men Boxing,0241715,1891,9628,0
Newark Athlete,0241763,1891,9629,0
"Duncan and Another, Blacksmith Shop",0241393,1891,9792,0
Duncan Smoking,0241392,1891,9793,0
Duncan or Devonald with Muslin Cloud,0241394,1891,9794,0
"Monkey and Another, Boxing",0241735,1891,9795,0
Je vous aime,3201916,1891,9800,0
La vague,3508566,1891,9802,0
Two Fencers,5447082,1891,9943,0
Pauvre Pierrot,0000003,1892,5433,0
Un bon bock,0000004,1892,9631,0
Le clown et ses chiens,0000002,1892,9632,0
Fencing,0241446,1892,9951,0
Le prince de Galles,0234520,1892,9952,0
Wrestling,0242148,1892,9948,0
Boxing,0241266,1892,9986,0
Blacksmith Scene,0000005,1893,9583,0
Annabelle Butterfly Dance,0229217,1894,9636,0
Edison Kinetoscope Records: Annie Oakley,8419312,1894,9642,0
Autour d'une cabine,0000015,1894,9646,0
"Barbershop, The",0229235,1894,9648,0
Bucking Broncho,0309396,1894,9649,0
Buffalo Dance,0309402,1894,9650,0
Carmencita,0000001,1894,9651,0
Edison Kinetoscopic Record of a Sneeze,0000008,1894,9652,0
Dickson Experimental Sound Film,0177707,1894,9654,0
Chinese Opium Den,0000006,1894,9655,0
Corbett and Courtney Before the Kinetograph,0000007,1894,9656,0
Falling Cat,2049440,1894,9662,0
"Glenroy Bros., No. 2",0312728,1894,9663,0
Glenroy Brothers,0256782,1894,9664,0
Leonard-Cushing Fight,0203646,1894,9668,0
"Luis Martinetti, Contortionist",0277115,1894,9671,0
Sandow No. 2,2161519,1894,9673,0
Sandow No. 3,2161521,1894,9674,0
Reve au coin du feu,0413219,1894,9681,0
Miss Jerry,0000009,1894,9779,0
Tables Turned on the Gardener,0000014,1895,5444,0
"Execution of Mary, Queen of Scots, The",0132134,1895,6200,0
Akrobatisches Potpourri,0000011,1895,9679,1
Annabelle Serpentine Dance,0154152,1895,9683,0
Italienischer Bauerntanz,0000017,1895,9714,0
Baby's Dinner,0000029,1895,9715,1
Billy Edwards and the Unknown,0477266,1895,9766,0
Blacksmith Scene,0000022,1895,9767,0
Barque sortant du port,0000016,1895,9787,0
"House of the Devil, The",0000091,1896,4982,0
Une nuit terrible,0000131,1896,5406,0
La fee aux choux,0223341,1896,5445,0
"Arrival of a Train, The",0000012,1896,6199,0
Sandow,1428455,1896,9672,0
Alger: rue Bab-Azoun,1672718,1896,9949,0
Lassage des boeufs pour le labour,1736599,1896,9950,0
Lancement d'un navire,0222137,1896,9901,0
Bataille de neige,0000041,1897,9328,0
Four Heads Are Better Than One,0135696,1898,4978,0
"Astronomer's Dream; or, The Man in the Moon, The",0000211,1898,5410,0
"Temptation of St. Anthony, The",0224240,1898,5411,0
A Turn of the Century Illusionist,0000246,1899,4994,0
Cinderella,0000230,1899,5914,3
Sherlock Holmes Baffled,0291476,1900,1594,0
"Enchanted Drawing, The",0000300,1900,4271,0
Grandma's Reading Glass,0000304,1900,4343,0
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0000272,1900,4344,0
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0257654,1900,4345,0
Hamlet ( Le Duel d'Hamlet),0000306,1900,4346,0
"One-Man Band, The",0135453,1900,4993,0
Grandma Threading Her Needle,0377995,1900,5069,0
"Searching Ruins on Broadway, Galveston, for Dead Bodies",0230746,1900,5072,0
Let Me Dream Again,0000313,1900,5438,0
"Doctor and the Monkey, The",0227438,1900,5446,0
L'homme a la tete en caoutchouc,0000359,1901,4995,0
Reve et realite,0258104,1901,5437,0
Bluebeard,0131934,1901,5500,0
Le voyage dans la lune,0000417,1902,1252,0
Gulliver's Travels,0229024,1902,5431,0
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0367177,1902,5432,0
Mephistopheles' School of Magic,0000413,1902,5443,0
"Great Train Robbery, The",0000439,1903,1319,0
"Infernal Boiling Pot, The",0135180,1903,5002,0
"Music Lover, The",0000455,1903,5063,0
"Monster, The",0223755,1903,5064,0
"Enchanted Well, The",0189498,1903,5683,0
"Cook in Trouble, The",0215664,1904,5224,0
"Living Playing Cards, The",0135179,1904,5404,0
"Untamable Whiskers, The",0135631,1904,5601,0
Le voyage a travers l'impossible,0000499,1904,6135,0
"Scheming Gambler's Paradise, The",0135690,1905,5003,0
"Black Imp, The",0215575,1905,5602,0
"Story of the Kelly Gang, The",0000574,1906,1349,1
"Mysterious Retort, The",0216016,1906,5024,0
Humorous Phases of Funny Faces,0000554,1906,5435,0
"Hilarious Posters, The",0135122,1906,5603,0
"400 Tricks of the Devil, The",0000567,1906,5684,0
A Funny Shave,0449172,1906,6206,0
"Consequence of Feminism, The",1260944,1906,7215,0
"Eclipse: Courtship of the Sun and Moon, The",0215737,1907,5223,0
Good Glue Sticks,0215817,1907,5615,0
Unusual Cooking,1802750,1908,6231,0
"Princess Nicotine; or, The Smoke Fairy",0001009,1909,4409,2
"Devilish Tenant, The",0127948,1909,5635,0
Le barometre de la fidelite,0277596,1909,6211,1
Tilly the Tomboy Visits the Poor,0232821,1910,1464,3
Mobilier fidele,0486978,1910,4983,0
A Trip to Mars,1515725,1910,5685,0
Cleopatra,0002101,1912,2003,2
"Invaders, The",0002281,1912,2005,0
Max and the Donkey,0277865,1912,5357,0
"Voyage of the Bourrichon Family, The",0003512,1913,5364,0
Suspense,0003424,1913,5915,0
A Florida Enchantment,0003973,1914,4457,2
"Birth of a Nation, The",0004972,1915,1258,2
Gretchen the Greenhorn,0006745,1916,2008,3
Lady Windermere's Fan,0279914,1916,2014,3
"Vagabond, The",0007507,1916,5368,0
Intolerance: Love's Struggle Throughout the Ages,0006864,1916,5944,0
Snow White,0007361,1916,7004,3
A Tale of Two Cities,0008652,1917,1981,3
Rebecca of Sunnybrook Farm,0008499,1917,1993,3
"Poor Little Rich Girl, The",0008443,1917,1994,3
A Romance of the Redwoods,0008519,1917,2015,0
"Raffles, the Amateur Cracksman",0008489,1917,2019,2
Tarzan of the Apes,0009682,1918,1996,3
Stella Maris,0009652,1918,2007,3
Are Crooks Dishonest?,0008844,1918,5441,0
Ich mochte kein Mann sein,0010281,1918,7108,3
When the Clouds Roll by,0010879,1919,2018,3
Broken Blossoms or The Yellow Man and the Girl,0009968,1919,2588,0
"Cabinet of Dr. Caligari, The",0010323,1920,1306,0
Pollyanna,0011588,1920,1991,3
Within Our Gates,0011870,1920,5948,3
Orphans of the Storm,0012532,1921,1263,3
"Kid, The",0012349,1921,3945,0
"Blot, The",0011979,1921,4204,3
Körkarlen (The Phantom Carriage),0012364,1921,5898,2
"Nosferatu, eine Symphonie des Grauens",0013442,1922,1307,2
"Phantom, The",0013496,1922,1631,2
Nathan der Weise,0013428,1922,1778,2
"Man from Beyond, The",0013367,1922,2001,1
Häxan: Witchcraft Through the Ages,0013257,1922,3800,3
"Paleface, The",0012543,1922,5361,0
Nanook of the North,0013427,1922,5901,1
Foolish Wives,0013140,1922,5958,3
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",0013086,1922,5967,3
Safety Last!,0014429,1923,1961,0
Why Worry?,0014611,1923,1967,0
"Silent Command, The",0014469,1923,1998,2
La souriante Madame Beudet,0013626,1923,5888,3
Our Hospitality,0014341,1923,5949,0
A Woman of Paris,0014624,1923,8947,2
Die Nibelungen,0015175,1924,1337,2
Kriemhild's Revenge,0015174,1924,1338,2
"Thief of Bagdad, The",0015400,1924,1264,0
Wild Oranges,0015498,1924,1960,0
"Navigator, The",0015163,1924,2009,0
Sherlock Jr.,0015324,1924,2011,0
Girl Shy,0014945,1924,2016,0
Manhandled,0015116,1924,2020,3
"Great White Silence, The",1764657,1924,2413,0
Help!,0013845,1924,6209,0
Greed,0015881,1924,8458,3
"Phantom of the Opera, The",0016220,1925,1305,2
Battleship Potemkin,0015648,1925,1308,0
"Gold Rush, The",0015864,1925,1309,0
Go West,0015863,1925,1978,0
"Freshman, The",0015841,1925,2012,0
Seven Chances,0016332,1925,3077,0
"Lost World, The",0016039,1925,5514,2
"Big Parade, The",0015624,1925,5962,2
Stachka,0015361,1925,5991,0
"Temptress, The",0017449,1926,1334,1
Flesh and the Devil,0016884,1926,1260,1
"General, The",0017925,1926,1310,0
For Heaven's Sake,0016895,1926,1966,0
So's Your Old Man,0017410,1926,3217,3
Die Abenteuer des Prinzen Achmed,0015532,1926,5974,1
It,0018033,1927,1227,3
Metropolis,0017136,1927,1267,1
Abel Gance's Napoleon,0018192,1927,1312,2
"Unknown, The",0018528,1927,1311,0
Sunrise: A Song of Two Humans,0018455,1927,1632,2
"Kid Brother, The",0018051,1927,1964,0
Nevada,0018199,1927,1982,0
My Best Girl,0018183,1927,2010,3
Wings,0018578,1927,3118,1
"Jazz Singer, The",0018037,1927,5975,1
Downhill [When Boys Leave Home],0017825,1927,7324,1
"Passion of Joan of Arc, The",0019254,1928,1314,0
Speedy,0019412,1928,1963,0
"Circus, The",0018773,1928,1968,0
"Cameraman, The",0018742,1928,1970,0
"Steamboat Bill, Jr.",0019421,1928,1971,0
"Racket, The",0019304,1928,1972,0
Beggars of Life,0018684,1928,1977,0
"Power of the Press, The",0019290,1928,1979,1
A Girl in Every Port,0018937,1928,1980,0
"Patsy, The",0019258,1928,2013,3
While the City Sleeps,0019571,1928,2017,2
"Man Who Laughs, The",0019130,1928,2021,2
"Crowd, The",0018806,1928,5912,1
"Docks of New York, The",0018839,1928,5984,2
Our Dancing Daughters,0019237,1928,9314,2
Un chien andalou,0020530,1929,1313,0
"Cocoanuts, The",0019777,1929,1953,2
Welcome Danger,0020572,1929,1962,0
Pandora's Box (Die Büchse der Pandora),0018737,1929,2324,3
Man with a Movie Camera,0019760,1929,3897,0
Blackmail,0019702,1929,5979,2
Throw of the Dice,0020286,1929,6046,0
Juno and the Paycock [The Shame of Mary Boyle],0021015,1929,7287,3
Broadway Melody,0019729,1929,8464,3
"Blue Angel, The",0020697,1930,1315,1
All Quiet on the Western Front,0020629,1930,1316,0
Anna Christie,0020641,1930,1326,3
Ladies of Leisure,0021040,1930,3713,3
L'Age d'Or,0021577,1930,3871,0
Morocco,0021156,1930,3865,1
Min and Bill,0021148,1930,3927,3
Be Yourself,0020670,1930,4253,2
"Bat Whispers, The",0020668,1930,6782,3
Murder!,0021165,1930,7291,3
Animal Crackers,0020640,1930,8463,3
M,0022100,1931,610,3
Mädchen in Uniform,0022183,1931,628,3
Night Nurse,0022208,1931,636,3
Frankenstein,0021884,1931,1317,1
Anna Christie,0020642,1931,1327,3
Mata Hari,0023196,1931,1333,3
Tabu: A Story of the South Seas,0022458,1931,1633,0
Indiscreet,0022000,1931,1828,3
"Last Flight, The",0022054,1931,1956,0
Pardon Us,0022251,1931,1974,0
Dracula,0021814,1931,1985,2
Monkey Business,0022158,1931,2384,1
City Lights,0021749,1931,2705,3
"Smiling Lieutenant, The",0022074,1931,4243,2
"Cheat, The",0021735,1931,5741,3
"Public Enemy, The",0022286,1931,5934,3
La Chienne,0021739,1931,6030,3
A Nous la Liberte,0022599,1931,6031,1
Little Caesar,0021079,1931,6043,1
"Skin Game, The",0022395,1931,7294,3
Rich and Strange [East of Shanghai],0023395,1931,7296,2
Dracula,0021815,1931,8213,3
Cimarron,0021746,1931,8467,3
Hyppolit a lakaj,0021985,1931,8557,1
Skippy,0022397,1931,9095,3
"Champ, The",0021730,1931,9110,1
I Am a Fugitive from a Chain Gang,0023042,1932,1318,1
Grand Hotel,0022958,1932,1328,3
"Age of Consent, The",0022614,1932,1983,2
Horse Feathers,0023027,1932,2383,1
White Zombie,0023694,1932,2550,0
Boudu Saved from Drowning,0022718,1932,2767,1
"I Was Born, But...",0023634,1932,3530,1
"Most Dangerous Game, The",0023238,1932,3658,0
Freaks,0022913,1932,3659,2
Island of Lost Souls,0024188,1932,3844,1
"Old Dark House, The",0023293,1932,4775,3
Merrily We Go to Hell,0023213,1932,5742,3
"Girl from Calgary, The",0022940,1932,5783,2
Vampyr,0023649,1932,5910,3
Shanghai Express,0023458,1932,5929,3
Three on a Match,0023590,1932,6051,3
Love Me Tonight,0023158,1932,6052,2
Scarface,0023427,1932,6063,1
Red-Headed Woman,0023385,1932,6092,3
"Death Kiss, The",0023935,1932,6176,1
Thirteen Women,0023582,1932,6852,3
"Blue Light (Das Blaue Licht), The",0022694,1932,6990,1
Number 17,0023285,1932,7301,0
Footlight Parade,0024028,1933,802,3
Queen Christina,0024481,1933,1330,3
"Private Life of Henry VIII., The",0024473,1933,1248,1
King Kong,0024216,1933,2229,0
Little Women,0024264,1933,2231,3
Alice in Wonderland,0023753,1933,3188,3
"Vampire Bat, The",0024727,1933,3210,3
42nd Street,0024034,1933,4335,3
Day of Reckoning,0023932,1933,5029,3
Duck Soup,0023969,1933,5185,1
Tomorrow at Seven,0024679,1933,5752,3
Gold Diggers of 1933,0024069,1933,5916,3
Female,0024008,1933,6056,3
A Study in Scarlet,0024625,1933,6193,3
"Peanut Vendor, The",0024432,1933,6205,0
"Invisible Man, The",0024184,1933,7450,1
Baby Face,0023775,1933,7528,3
Design for Living,0023940,1933,8346,1
Cavalcade,0023876,1933,8477,3
It Happened One Night,0025316,1934,621,3
"Cat's-Paw, The",0024961,1934,1324,1
"Scarlet Empress, The",0025746,1934,1325,3
"Painted Veil, The",0025617,1934,1329,1
"Count of Monte Cristo, The",0025004,1934,1246,1
Cleopatra,0024991,1934,1270,1
Of Human Bondage,0025586,1934,1379,1
L'atalante,0024844,1934,1795,0
"Lost Patrol, The",0025423,1934,1969,0
Spitfire,0025822,1934,4443,3
Maniac,0025465,1934,4702,3
Anne of Green Gables,0024831,1934,5319,3
Lost in the Stratosphere,0025424,1934,5523,2
Search for Beauty,0025755,1934,5821,3
Evelyn Prentice,0025091,1934,6772,3
"Man Who Knew Too Much, The",0025452,1934,7304,3
Imitation of Life,0025301,1934,7999,3
Mystery Liner,0025543,1934,8653,0
Top Hat,0027125,1935,595,2
"39 Steps, The",0026029,1935,1242,3
Anna Karenina,0026071,1935,1261,2
Mutiny on the Bounty,0026752,1935,1361,1
Naughty Marietta,0026768,1935,1685,3
Roberta,0026942,1935,2362,3
Magnificent Obsession,0026667,1935,2756,3
A Night At The Opera,0026778,1935,3881,1
"Bride of Frankenstein, The",0026138,1935,3891,3
"Lady in Scarlet, The",0026599,1935,5750,2
"Riverside Murder, The",0026939,1935,5913,2
Mad Love,0026663,1935,7998,2
Swing Time,0028333,1936,596,1
Modern Times,0027977,1936,1323,0
"Charge of the Light Brigade, The",0027438,1936,1237,1
San Francisco,0028216,1936,1359,1
Wife vs. Secretary,0028505,1936,1360,2
"Petrified Forest, The",0028096,1936,1369,3
Mr. Deeds Goes to Town,0027996,1936,1992,3
Born to Dance,0027387,1936,2363,3
Revolt of the Zombies,0028174,1936,2554,0
Earthworm Tractors,0027562,1936,2699,1
Osaka Elegy,0028021,1936,2853,3
Theodora Goes Wild,0028355,1936,3280,3
"Great Ziegfeld, The",0027698,1936,3401,3
"Mandarin Mystery, The",0029207,1936,3548,3
"Only Son, The",0027752,1936,3560,3
Camille,0028683,1936,3598,3
Pennies from Heaven,0028092,1936,4010,3
Romeo and Juliet,0028203,1936,4069,3
Bullets or Ballots,0027407,1936,4143,3
My Man Godfrey,0028010,1936,5852,2
Sabotage,0028212,1936,5926,3
Fury,0027652,1936,6096,2
Murder at Glen Athol,0028000,1936,6174,3
Il caso Valdemar,3427056,1936,6210,0
These Three,0028356,1936,7227,2
Secret Agent,0028231,1936,7308,3
Dracula's Daughter,0027545,1936,7992,3
Shall We Dance,0029546,1937,597,1
Stage Door,0029604,1937,631,3
Stella Dallas,0029608,1937,795,3
Conquest,0028739,1937,1332,2
Topper,0029682,1937,1335,2
Lost Horizon,0029162,1937,1336,2
"Prisoner of Zenda, The",0029442,1937,1240,1
Knight Without Armor,0029087,1937,1244,2
Parnell,0029377,1937,1358,2
Snow White and the Seven Dwarfs,0029583,1937,1976,3
A Day at the Races,0028772,1937,2382,2
Nothing Sacred,0029322,1937,3968,0
Make Way for Tomorrow,0029192,1937,4255,3
Murder at the Baskervilles (Silver Blaze),0029565,1937,5617,1
Pepe le Moko,0029453,1937,5740,2
"Awful Truth, The",0028597,1937,6554,3
"Girl Was Young, The",0029811,1937,7317,3
Marked Woman,0029217,1937,7877,3
"Bizarre, Bizarre",0027552,1937,8473,3
"Life of Emile Zola, The",0029146,1937,8478,1
Carefree,0029971,1938,594,2
"Lady Vanishes, The",0030341,1938,620,3
Holiday,0030241,1938,994,3
"Dawn Patrol, The",0030044,1938,1238,0
Jezebel,0030287,1938,1367,2
"Sisters, The",0030755,1938,1378,2
Boys Town,0029942,1938,2467,0
"Mr. Wong, Detective",0030473,1938,2590,1
"Adventures of Robin Hood, The",0029843,1938,3103,2
Bluebeard's Eighth Wife,0029929,1938,3283,2
Bringing Up Baby,0029947,1938,3400,3
Four Daughters,0030149,1938,3951,3
"Mad Miss Manton, The",0030396,1938,4495,3
"Baker's Wife, The",0030127,1938,6042,1
Angels with Dirty Faces,0029870,1938,7290,1
"Wizard of Oz, The",0032138,1939,174,3
Gone with the Wind,0031381,1939,291,3
Dodge City,0031235,1939,383,2
"Women, The",0032143,1939,588,3
Stagecoach,0031971,1939,593,3
Wuthering Heights,0032145,1939,1239,2
"Goodbye, Mr. Chips",0031385,1939,1245,2
Ninotchka,0031725,1939,1259,3
Juarez,0031516,1939,1368,2
Dark Victory,0031210,1939,1370,3
Essex and Elizabeth,0031826,1939,1371,2
Young Mr. Lincoln,0032155,1939,1382,2
Jesse James,0031507,1939,1383,2
Drums Along the Mohawk,0031252,1939,1384,2
"Story of Alexander Graham Bell, The",0031981,1939,1385,2
"Flying Deuces, The",0031322,1939,1973,0
"Hunchback of Notre Dame, The",0031455,1939,2086,0
At the Circus,0031060,1939,2372,2
"Gorilla, The",0031387,1939,2555,3
Mr. Wong in Chinatown,0031680,1939,2622,1
Of Mice and Men,0031742,1939,2851,1
"Rules of the Game, The",0031885,1939,3089,3
Babes in Arms,0031066,1939,3723,3
Destry Rides Again,0031225,1939,5634,3
Nancy Drew... Reporter,0031709,1939,5763,3
"Adventures of Sherlock Holmes, The",0031022,1939,5863,3
Mr. Smith Goes to Washington,0031679,1939,5946,2
Jamaica Inn,0031505,1939,7322,3
Le jour se lève,0031514,1939,8098,2
Gulliver's Travels,0031397,1939,8511,0
Love Affair,0031593,1939,9038,3
Pinocchio,0032910,1940,478,1
Rebecca,0032976,1940,618,3
"Thief of Bagdad, The",0033152,1940,1265,0
"Mortal Storm, The",0032811,1940,1501,3
Comrade X,0032349,1940,1355,2
Boom Town,0032273,1940,1356,1
Strange Cargo,0033105,1940,1357,0
"Return of Frank James, The",0032983,1940,1366,0
"All This, and Heaven Too",0032194,1940,1373,2
"Letter, The",0032701,1940,1380,2
"Grapes of Wrath, The",0032551,1940,1387,3
A Chump at Oxford,0032339,1940,1975,0
"Ape, The",0032215,1940,2556,3
Santa Fe Trail,0033021,1940,2678,1
His Girl Friday,0032599,1940,3033,3
"Sea Hawk, The",0033028,1940,3050,3
"Great Dictator, The",0032553,1940,3470,3
Pride and Prejudice,0032943,1940,4257,3
Primrose Path,0032946,1940,4354,3
Chamber of Horrors / Door with the Seven Locks,0032406,1940,4363,2
"Dance, Girl, Dance",0032376,1940,4415,3
"Philadelphia Story, The",0032904,1940,4943,3
Fantasia,0032455,1940,5039,0
Anne Of Windy Poplars,0032211,1940,5320,3
Gaslight,0031359,1940,5773,3
"Last Alarm, The",0032690,1940,5802,3
Foreign Correspondent,0032484,1940,7311,1
"Shop Around the Corner, The",0033045,1940,7861,3
Knute Rockne All American,0032676,1940,8480,1
Two-Faced Woman,0034328,1941,1331,2
"Shanghai Gesture, The",0034175,1941,1512,3
"Maltese Falcon, The",0033870,1941,1230,1
Citizen Kane,0033467,1941,1266,1
Dumbo,0033563,1941,1117,2
"Little Foxes, The",0033836,1941,1372,2
"Lady Eve, The",0033804,1941,1386,2
"Devil and Miss Jones, The",0033533,1941,1682,3
Mr. Bug Goes to Town,0033727,1941,1941,1
High Sierra,0033717,1941,2410,1
"Wolf Man, The",0034398,1941,2436,2
Cheers for Miss Bishop,0033459,1941,2446,3
Men of Boys Town,0033902,1941,2468,1
49th Parallel,0033627,1941,2867,0
Buck Privates,0033436,1941,2906,3
Hold That Ghost,0033723,1941,2910,3
Meet John Doe,0033891,1941,3717,3
Sullivan's Travels,0034240,1941,4359,3
Murder by Invitation,0033928,1941,6171,3
Ladies In Retirement,0033802,1941,6318,1
Suspicion,0034248,1941,7329,3
Sun valley serenade,0034241,1941,8625,0
How Green Was My Valley,0033729,1941,8983,3
"Reluctant Dragon, The",0034091,1941,9025,3
King of the Zombies,0033787,1941,9192,3
"Major and the Minor, The",0035019,1942,681,3
"Now, Voyager",0035140,1942,689,3
Casablanca,0034583,1942,1076,1
"Magnificent Ambersons, The",0035015,1942,1289,2
Bambi,0034492,1942,1116,1
Son of Fury: The Story of Benjamin Blake,0035360,1942,1388,1
For Me and My Gal,0034746,1942,1675,3
I Married an Angel,0034882,1942,1686,3
Cat People,0034587,1942,2708,3
Black Dragons,0034521,1942,3518,0
There Was a Father,0034591,1942,3789,0
Tales of Manhattan,0035415,1942,3875,2
"Man Who Came to Dinner, The",0033874,1942,4475,3
Woman of the Year,0035567,1942,4870,3
To Be or Not to Be,0035446,1942,5303,0
Sherlock Holmes and the Secret Weapon,0035317,1942,5859,1
Saboteur,0035279,1942,5939,1
Mrs. Miniver,0035093,1942,6384,3
Saludos Amigos,0036326,1942,7696,0
"Corpse Vanishes, The",0034613,1942,7697,1
Old Acquaintance,0036230,1943,1374,3
Watch on the Rhine,0036515,1943,1375,3
Girl Crazy,0035942,1943,1691,1
I Walked with a Zombie,0036027,1943,1955,3
"Sky's the Limit, The",0036363,1943,1959,1
Sahara,0036323,1943,1987,0
Guadalcanal Diary,0035957,1943,1988,0
Tender Comrade,0036418,1943,2407,3
Day of Wrath,0036506,1943,3753,3
"Life and Death of Colonel Blimp, The",0036112,1943,3839,2
Le Corbeau: The Raven,0035753,1943,3890,3
Shadow of a Doubt,0036342,1943,4617,3
Judo Saga (Sanshiro Sugata),0036400,1943,4699,0
Cry 'Havoc',0035770,1943,5209,3
Fires Were Started,0035881,1943,5554,0
"Ox-Bow Incident, The",0036244,1943,6310,1
So Proudly We Hail!,0036367,1943,6315,3
Jane Eyre,0036969,1943,6781,3
"More the Merrier, The",0036172,1943,7410,1
La main du diable,0035017,1943,7475,1
Angels of Sin,0035636,1943,7834,3
"Seventh Victim, The",0036341,1943,8090,3
China,0035735,1943,8501,3
Ossessione,0035160,1943,8801,1
Arsenic and Old Lace,0036613,1944,201,3
Double Indemnity,0036775,1944,1416,3
Mr. Skeffington,0037094,1944,1376,2
Meet Me in St. Louis,0037059,1944,1676,3
Hail the Conquering Hero,0036891,1944,1683,2
Torment,0036914,1944,2045,0
Window in the Window,0037469,1944,2181,1
Laura,0037008,1944,2715,3
Cover Girl,0036723,1944,3134,3
Since You Went Away,0037280,1944,3154,3
To Have and Have Not,0037382,1944,3245,3
I'll Be Seeing You,0036940,1944,3279,3
National Velvet,0037120,1944,4222,3
"Most Beautiful (Ichiban utsukushiku), The",0036947,1944,4698,3
Lifeboat,0037017,1944,5983,3
"Three Caballeros, The",0038166,1944,6319,0
Minstrel Man,0037076,1944,6420,1
A Canterbury Tale,0036695,1944,6515,3
"Uninvited, The",0037415,1944,9270,3
Die Feuerzangenbowle,0036818,1944,9718,1
Mildred Pierce,0037913,1945,794,3
I Know Where I'm Going,0037800,1945,1213,3
"Seventh Veil, The",0038924,1945,1280,3
Brief Encounter,0037558,1945,1544,3
Along Came Jones,0037508,1945,1639,0
Isle of the Dead,0037820,1945,2004,3
"Enchanted Cottage, The",0037671,1945,2434,3
"Objective, Burma!",0037954,1945,3271,0
"Lost Weekend, The",0037884,1945,3583,2
Detour,0037638,1945,3999,1
Spellbound,0038109,1945,4252,3
"Rome, Open City",0038890,1945,4428,3
Scarlet Street,0038057,1945,5081,3
Children of Paradise,0037674,1945,5129,2
Keep Your Powder Dry,0037843,1945,5677,3
"Woman in Green, The",0038259,1945,5856,3
Anchors Aweigh,0037514,1945,6017,0
Thin Man Goes Home,0037365,1945,6848,2
"Red Dragon, The",0038017,1945,6945,1
Dead of Night,0037635,1945,7185,3
Les dames du Bois de Boulogne,0037630,1945,7835,3
"Wicked Lady, The",0038250,1945,9005,3
Notorious,0038787,1946,622,2
"Harvey Girls, The",0038589,1946,786,3
"Big Sleep, The",0038355,1946,971,1
"Postman Always Rings Twice, The",0038854,1946,1424,1
Stairway to Heaven,0038733,1946,1231,0
Beauty and the Beast,0038348,1946,1268,3
Deception,0038461,1946,1377,0
Devotion,0038474,1946,1381,3
Two Sisters from Boston,0039054,1946,1680,3
It's a Wonderful Life,0038650,1946,2235,3
"Jolson Story, The",0038661,1946,2654,1
Gilda,0038559,1946,2809,0
"Strange Woman, The",0038990,1946,3145,3
My Darling Clementine,0038762,1946,3783,1
"Best Years of Our Lives, The",0036868,1946,3982,2
Dressed to Kill,0038494,1946,4002,3
Duel in the sun,0038499,1946,4900,2
"Chase, The",0038409,1946,5497,1
Song of the South,0038969,1946,5646,2
Terror by Night,0039017,1946,5872,1
"Dark Corner, The",0038453,1946,5961,1
"Stranger, The",0038991,1946,7671,3
Make Mine Music,0038718,1946,8052,1
"Years Between, The",0039112,1946,8354,3
Great Expectations,0038574,1946,9182,2
Black Narcissus,0039192,1947,1211,3
"Exile, The",0039360,1947,1235,1
Odd Man Out,0039677,1947,1278,2
Good News,0039431,1947,1679,2
"Shocking Miss Pilgrim, The",0039819,1947,1681,3
"Egg and I, The",0039349,1947,2287,3
"Paradine Case, The",0039694,1947,2330,2
"Ghost and Mrs. Muir, The",0039420,1947,3047,3
Gunfighters,0039441,1947,3112,2
Crossfire,0039286,1947,4411,2
Calendar Girl,0039236,1947,5779,2
Build My Gallows High,0039689,1947,6550,2
Nada,0039650,1947,7432,3
Fun & Fancy Free,0039404,1947,8053,1
Body and Soul,0039204,1947,8619,3
Dishonored Lady,0039324,1947,8646,3
"Unfinished Dance, The",0039938,1947,8729,3
"Lady from Shanghai, The",0040525,1947,8756,0
Miracle on 34th Street,0039628,1947,8989,3
Gentleman's Agreement,0039416,1947,9598,1
Red River,0040724,1948,1320,0
"Red Shoes, The",0040725,1948,1229,3
Hamlet,0040416,1948,1232,1
Bonnie Prince Charlie,0040183,1948,1236,2
Enchantment,0040321,1948,1241,3
